iso_code,location,total_cases,year
AFG,Afghanistan,51848.0,2020
AFG,Afghanistan,157902.0,2021
AFG,Afghanistan,207322.0,2022
AFG,Afghanistan,230375.0,2023
AFG,Afghanistan,231539.0,2024
OWID_AFR,Africa,2662452.0,2020
OWID_AFR,Africa,9634415.0,2021
OWID_AFR,Africa,12994425.0,2022
OWID_AFR,Africa,13130839.0,2023
OWID_AFR,Africa,13135066.0,2024
ALB,Albania,55380.0,2020
ALB,Albania,207221.0,2021
ALB,Albania,332670.0,2022
ALB,Albania,334596.0,2023
ALB,Albania,334863.0,2024
DZA,Algeria,97857.0,2020
DZA,Algeria,216376.0,2021
DZA,Algeria,271194.0,2022
DZA,Algeria,272010.0,2023
DZA,Algeria,272010.0,2024
ASM,American Samoa,,2020
ASM,American Samoa,11.0,2021
ASM,American Samoa,8266.0,2022
ASM,American Samoa,8359.0,2023
ASM,American Samoa,8359.0,2024
AND,Andorra,7806.0,2020
AND,Andorra,21730.0,2021
AND,Andorra,47686.0,2022
AND,Andorra,48015.0,2023
AND,Andorra,48015.0,2024
AGO,Angola,17149.0,2020
AGO,Angola,71142.0,2021
AGO,Angola,105070.0,2022
AGO,Angola,106720.0,2023
AGO,Angola,107084.0,2024
AIA,Anguilla,12.0,2020
AIA,Anguilla,1646.0,2021
AIA,Anguilla,3904.0,2022
AIA,Anguilla,3904.0,2023
AIA,Anguilla,3904.0,2024
ATG,Antigua and Barbuda,155.0,2020
ATG,Antigua and Barbuda,4229.0,2021
ATG,Antigua and Barbuda,9106.0,2022
ATG,Antigua and Barbuda,9106.0,2023
ATG,Antigua and Barbuda,9106.0,2024
ARG,Argentina,1629908.0,2020
ARG,Argentina,5559916.0,2021
ARG,Argentina,9891139.0,2022
ARG,Argentina,10076858.0,2023
ARG,Argentina,10094643.0,2024
ARM,Armenia,157834.0,2020
ARM,Armenia,344481.0,2021
ARM,Armenia,445583.0,2022
ARM,Armenia,451426.0,2023
ARM,Armenia,451426.0,2024
ABW,Aruba,5228.0,2020
ABW,Aruba,17165.0,2021
ABW,Aruba,43752.0,2022
ABW,Aruba,44224.0,2023
ABW,Aruba,,2024
OWID_ASI,Asia,20190911.0,2020
OWID_ASI,Asia,84190614.0,2021
OWID_ASI,Asia,250812759.0,2022
OWID_ASI,Asia,301159792.0,2023
OWID_ASI,Asia,,2024
AUS,Australia,28296.0,2020
AUS,Australia,366607.0,2021
AUS,Australia,10694041.0,2022
AUS,Australia,11721535.0,2023
AUS,Australia,11769858.0,2024
AUT,Austria,344732.0,2020
AUT,Austria,1252088.0,2021
AUT,Austria,5678345.0,2022
AUT,Austria,6081287.0,2023
AUT,Austria,6081287.0,2024
AZE,Azerbaijan,211764.0,2020
AZE,Azerbaijan,614119.0,2021
AZE,Azerbaijan,825893.0,2022
AZE,Azerbaijan,834254.0,2023
AZE,Azerbaijan,834470.0,2024
BHS,Bahamas,7788.0,2020
BHS,Bahamas,23630.0,2021
BHS,Bahamas,37491.0,2022
BHS,Bahamas,38084.0,2023
BHS,Bahamas,38084.0,2024
BHR,Bahrain,91518.0,2020
BHR,Bahrain,279518.0,2021
BHR,Bahrain,696614.0,2022
BHR,Bahrain,696614.0,2023
BHR,Bahrain,696614.0,2024
BGD,Bangladesh,509148.0,2020
BGD,Bangladesh,1583253.0,2021
BGD,Bangladesh,2037024.0,2022
BGD,Bangladesh,2046292.0,2023
BGD,Bangladesh,,2024
BRB,Barbados,347.0,2020
BRB,Barbados,27629.0,2021
BRB,Barbados,105515.0,2022
BRB,Barbados,110174.0,2023
BRB,Barbados,110375.0,2024
BLR,Belarus,184922.0,2020
BLR,Belarus,692601.0,2021
BLR,Belarus,994037.0,2022
BLR,Belarus,994037.0,2023
BLR,Belarus,994037.0,2024
BEL,Belgium,638760.0,2020
BEL,Belgium,2048110.0,2021
BEL,Belgium,4679472.0,2022
BEL,Belgium,4848745.0,2023
BEL,Belgium,,2024
BLZ,Belize,10490.0,2020
BLZ,Belize,31503.0,2021
BLZ,Belize,69675.0,2022
BLZ,Belize,71373.0,2023
BLZ,Belize,71381.0,2024
