country,year,inflation,tax,population,migration,GDP,unemployment
Argentina,2020,42,"0,43135372",45376763,"2,344",8571.937,11.46
Argentina,2022,72.4,"0,30867308",46234830,"3,886",13619.875,6.491
Armenia,2020,1.2,"0,35376132",2805608,"-12,825",4268.55,12.18
Armenia,2022,8.6,"0,3757071",2780469,"-5,000",6587.219,12.557
Australia,2020,0.9,"0,38634857",25649248,"117,929",53094.491,6.46
Australia,2022,6.6,"0,3678693",26005540,"139,991",64813.854,3.661
Austria,2020,1.4,"0,33290324",8916864,"20,314",48857.083,5.36
Austria,2022,8.6,"0,32991636",9041851,"19,999",52191.771,4.707
Belarus,2020,5.5,"0,28375359",9379952,"13,589",6515.654,4.05
Belgium,2020,0.4,"0,46220091",11538604,"53,428",45545.233,5.55
Belgium,2022,10.3,"0,44530483",11685814,"23,999",49843.163,5.631
Brazil,2020,3.2,"0,43521921",213196304,"56,880",7344.529,13.93
Brazil,2022,9.3,"0,4235341",215313498,"6,425",9455.328,9.461
Bulgaria,2020,1.2,"0,37339474",6934015,"-9,902",10170.723,5.12
Bulgaria,2022,13,"0,39565483",6465097,"-4,800",13821.205,4.402
Cambodia,2020,2.9,"0,42238604",16396860,"-22,308",1643.758,0.298
Canada,2020,0.7,"0,35083674",38007166,"195,181",43383.713,9.46
Canada,2022,6.8,"0,46048611",38929902,"248,586",55036.52,5.209
Chile,2020,3,"0,40223886",19300315,"98,439",13067.742,11.14
Chile,2022,11.6,"0,42158951",19603733,"-66,850",15166.472,7.784
Colombia,2020,2.5,"0,46384317",50930662,"229,437",5363.067,15.04
Colombia,2022,10.2,"0,40824647",51874024,"-167,924",6658.119,10.726
Costa Rica,2020,0.7,"0,45260252",5123105,"2,084",12163.927,16.43
Costa Rica,2022,8.3,"0,41236551",5180829,"3,850",13074.905,11.453
Croatia,2020,0,"0,48899165",4047680,"-11,592",14231.063,7.51
Croatia,2022,10.7,"0,39595857",3855600,"-2,000",18305.03,6.746
Denmark,2020,0.3,"0,3490506",5831404,"23,076",60926.877,5.64
Denmark,2022,8.5,"0,35924268",5903037,"19,999",68294.907,4.172
